country_iso3,country_name,region,subregion,income_group,is_sovereign,trajectory_score_static_2045,trajectory_score_ml_2045,trajectory_score_delta_ml_minus_static,trajectory_rank_static_2045,trajectory_rank_ml_2045,trajectory_rank_delta_static_minus_ml
NIC,Nicaragua,Americas,Central America,Lower middle income,true,0.1624228509562298,0.1623827360573188,-4.0114898911008945E-5,168,161,7
NLD,Netherlands,Europe,Western Europe,High income,true,0.5636335865849915,0.563594159504693,-3.942708029847086E-5,14,14,0
BWA,Botswana,Africa,Southern Africa,Upper middle income,true,0.2580115840014507,0.25805061499219717,3.903099074648031E-5,88,87,1
EST,Estonia,Europe,Northern Europe,High income,true,0.5353044171157656,0.535266138184559,-3.827893120655901E-5,23,23,0
MLT,Malta,Europe,Southern Europe,High income,true,0.5165064646381651,0.516543705095361,3.72404571958862E-5,27,27,0
MYS,Malaysia,Asia,South-eastern Asia,Upper middle income,true,0.3576330291997495,0.35759583195518413,-3.719724456535678E-5,57,57,0
CPV,Cabo Verde,Africa,Western Africa,Lower middle income,true,0.36893039289044505,0.36889400010229756,-3.639278814748792E-5,50,50,0
KOR,South Korea,Asia,Eastern Asia,High income,true,0.5442010398701126,0.5441647269968667,-3.631287324590282E-5,21,21,0
CHN,China,Asia,Eastern Asia,Upper middle income,true,0.3029927056694126,0.3029575139143385,-3.5191755074104325E-5,69,69,0
COM,Comoros,Africa,Eastern Africa,Lower middle income,true,0.09725835783236594,0.09722344728512615,-3.4910547239794254E-5,201,191,10
LAO,Laos,Asia,South-eastern Asia,Lower middle income,true,0.14484098321661004,0.14480627006331362,-3.471315329642288E-5,177,170,7
BHR,Bahrain,Asia,Western Asia,High income,true,0.3297022351783901,0.3296685287021962,-3.370647619388434E-5,62,62,0
ESP,Spain,Europe,Southern Europe,High income,true,0.5365099767204302,0.536476660753532,-3.3315966898261884E-5,22,22,0
POL,Poland,Europe,Eastern Europe,High income,true,0.4365290089532895,0.4365617831645953,3.277421130581937E-5,40,40,0
TUN,Tunisia,Africa,Northern Africa,Lower middle income,true,0.29940160645108016,0.29943169836392663,3.0091912846474944E-5,70,70,0
BRA,Brazil,Americas,South America,Upper middle income,true,0.3755404236551931,0.3755108985921346,-2.9525063058477574E-5,49,49,0
MOZ,Mozambique,Africa,Eastern Africa,Low income,true,0.04784913295611415,0.0478203462126241,-2.878674349005017E-5,223,211,12
ISL,Iceland,Europe,Northern Europe,High income,true,0.5827711042622482,0.5827428637728586,-2.8240489389652623E-5,9,9,0
HUN,Hungary,Europe,Eastern Europe,High income,true,0.3631008653602269,0.3631280576797339,2.719231950698564E-5,53,53,0
PRT,Portugal,Europe,Southern Europe,High income,true,0.5287462185434516,0.5287207267710027,-2.5491772448926753E-5,25,25,0
THA,Thailand,Asia,South-eastern Asia,Upper middle income,true,0.2709821843725121,0.2709572246896867,-2.49596828253984E-5,81,81,0
CAN,Canada,Americas,Northern America,High income,true,0.5631470719892145,0.5631235161886087,-2.3555800605867816E-5,15,15,0
AUS,Australia,Oceania,Australia and New Zealand,High income,true,0.5940750951407394,0.5940533824705229,-2.1712670216555985E-5,8,8,0
LUX,Luxembourg,Europe,Western Europe,High income,true,0.6331316573574202,0.6331519670049998,2.030964757959719E-5,3,3,0
CZE,Czechia,Europe,Eastern Europe,High income,true,0.5316752639824591,0.5316551717691295,-2.0092213329658826E-5,24,24,0
BIH,Bosnia and Herzegovina,Europe,Southern Europe,Upper middle income,true,0.32703713920374167,0.3270572237109904,2.0084507248718797E-5,63,63,0
CRI,Costa Rica,Americas,Central America,Upper middle income,true,0.478309116744043,0.47829267444831436,-1.6442295728613665E-5,31,31,0
GRC,Greece,Europe,Southern Europe,High income,true,0.47185795244468726,0.47187402823590935,1.607579122209213E-5,33,33,0
ARE,United Arab Emirates,Asia,Western Asia,High income,true,0.4035143992002319,0.4035289548447979,1.455564456598335E-5,44,44,0
GUY,Guyana,Americas,South America,Upper middle income,true,0.4934801676933055,0.4934659950209989,-1.417267230657826E-5,30,30,0
SGP,Singapore,Asia,South-eastern Asia,High income,true,0.555308335353727,0.5552943853266303,-1.395002709669857E-5,18,18,0
NOR,Norway,Europe,Northern Europe,High income,true,0.6420999186064779,0.6420864123457838,-1.3506260694073902E-5,2,2,0
VNM,Vietnam,Asia,South-eastern Asia,Lower middle income,true,0.22805926568601817,0.22807254085817055,1.327517215238272E-5,107,105,2
GBR,United Kingdom,Europe,Northern Europe,High income,true,0.5614298600571339,0.5614423101064648,1.2450049330925417E-5,16,16,0
USA,United States,Americas,Northern America,High income,true,0.551632193303916,0.5516214256509703,-1.076765294572013E-5,20,20,0
COG,Congo,Africa,Middle Africa,Lower middle income,true,0.08226294738605869,0.08225257078836187,-1.0376597696815093E-5,211,198,13
ALB,Albania,Europe,Southern Europe,Upper middle income,true,0.3588773599498828,0.3588873592521868,9.999302303997926E-6,55,55,0
MNG,Mongolia,Asia,Eastern Asia,Lower middle income,true,0.3111586033398413,0.3111494095756934,-9.193764147874539E-6,67,67,0
LKA,Sri Lanka,Asia,Southern Asia,Lower middle income,true,0.2985700285715452,0.2985625360495091,-7.492522036078864E-6,71,71,0
NZL,New Zealand,Oceania,Australia and New Zealand,High income,true,0.578064578376267,0.5780715184589047,6.9400826376853075E-6,11,11,0
ARG,Argentina,Americas,South America,Upper middle income,true,0.3924279760385092,0.3924347160971956,6.740058686394157E-6,47,47,0
DEU,Germany,Europe,Western Europe,High income,true,0.5774324174291051,0.5774259856680197,-6.431761085390342E-6,12,12,0
DNK,Denmark,Europe,Northern Europe,High income,true,0.6090869201182391,0.6090928817701353,5.961651896257969E-6,5,5,0
SWE,Sweden,Europe,Northern Europe,High income,true,0.6057515885489392,0.6057526348424308,1.0462934916244393E-6,6,6,0
BEL,Belgium,Europe,Western Europe,High income,true,0.5523488548778202,0.552349853051946,9.981741257991672E-7,19,19,0
ABW,,,,,,0.23125883884092546,0.23125883884092546,0.0,103,101,2
AIA,,,,,,0.2026292951046254,0.2026292951046254,0.0,137,132,5
AND,Andorra,Europe,Southern Europe,High income,true,0.23367940599787862,0.23367940599787862,0.0,99,97,2
ASM,,,,,,0.14533444762302727,0.14533444762302727,0.0,176,169,7
BES,,,,,,0.18620423644370163,0.18620423644370163,0.0,145,141,4
BLM,,,,,,0.23247404455015913,0.23247404455015913,0.0,101,99,2
BMU,,,,,,0.22083025296518918,0.22083025296518918,0.0,120,115,5
CHE,Switzerland,Europe,Western Europe,High income,true,0.6295953356948968,0.6295953356948968,0.0,4,4,0
COK,,,,,,0.17239882999582143,0.17239882999582143,0.0,160,154,6
CUW,,,,,,0.21538572511171228,0.21538572511171228,0.0,123,118,5
CYM,,,,,,0.21081771720613296,0.21081771720613296,0.0,129,124,5
ESH,,,,,,0.14066413293507163,0.14066413293507163,0.0,181,173,8
FLK,,,,,,0.20285429590819976,0.20285429590819976,0.0,135,130,5
FRO,,,,,,0.21264183086368166,0.21264183086368166,0.0,124,119,5
GGY,,,,,,0.22683295297483208,0.22683295297483208,0.0,110,107,3
GIB,,,,,,0.22819099353926264,0.22819099353926264,0.0,106,104,2
GLP,,,,,,0.21875703127511176,0.21875703127511176,0.0,121,116,5
GRL,,,,,,0.11989328533316188,0.11989328533316188,0.0,191,181,10
GUF,,,,,,0.2446500317617671,0.2446500317617671,0.0,95,93,2
GUM,,,,,,0.25395502550839827,0.25395502550839827,0.0,90,89,1
HKG,,,,,,0.33303009791971555,0.33303009791971555,0.0,60,60,0
IMN,,,,,,0.21162129150461254,0.21162129150461254,0.0,126,121,5
JEY,,,,,,0.20308733245475882,0.20308733245475882,0.0,134,129,5
KNA,,,,,,0.14146925524734016,0.14146925524734016,0.0,180,171,9
LIE,,,,,,0.23179100639645148,0.23179100639645148,0.0,102,100,2
MAC,,,,,,0.441377851147915,0.441377851147915,0.0,39,39,0
MAF,,,,,,0.2106409308604674,0.2106409308604674,0.0,130,125,5
MCO,,,,,,0.25,0.25,0.0,93,92,1
MNP,,,,,,0.19423194368551316,0.19423194368551316,0.0,139,133,6
MSR,,,,,,0.1761354504837518,0.1761354504837518,0.0,156,151,5
MTQ,,,,,,0.2227829385104947,0.2227829385104947,0.0,117,113,4
MYT,,,,,,0.22337873631042443,0.22337873631042443,0.0,115,112,3
NCL,,,,,,0.2642505100858993,0.2642505100858993,0.0,84,83,1
NIU,,,,,,0.12154864838802995,0.12154864838802995,0.0,190,180,10
PRI,,,,,,0.26056760393070394,0.26056760393070394,0.0,87,86,1
PSE,,,,,,0.1823631512969689,0.1823631512969689,0.0,152,147,5
PYF,,,,,,0.2622093777415401,0.2622093777415401,0.0,85,84,1
REU,,,,,,0.22827938671209538,0.22827938671209538,0.0,105,103,2
SHN,,,,,,0.182556009128604,0.182556009128604,0.0,151,146,5
SMR,,,,,,0.2437562277008132,0.2437562277008132,0.0,96,94,2
SPM,,,,,,0.18277297418919353,0.18277297418919353,0.0,150,145,5
SSD,,,,,,0.019478640995146408,0.019478640995146408,0.0,229,220,9
SXM,,,,,,0.1776140271929543,0.1776140271929543,0.0,154,149,5
TCA,,,,,,0.19101764649159458,0.19101764649159458,0.0,142,137,5
TCD,Chad,Africa,Middle Africa,Low income,true,-0.10756866792284596,-0.10756866792284596,0.0,237,237,0
TKL,,,,,,0.17690688181029215,0.17690688181029215,0.0,155,150,5
TWN,Taiwan,Asia,Eastern Asia,High income,true,0.2918218166780395,0.2918218166780395,0.0,76,75,1
VAT,,,,,,0.226085628877246,0.226085628877246,0.0,111,108,3
VGB,,,,,,0.1853363762013436,0.1853363762013436,0.0,146,142,4
VIR,,,,,,0.23296393031070425,0.23296393031070425,0.0,100,98,2
WLF,,,,,,0.19162836295843916,0.19162836295843916,0.0,141,136,5
XKX,,,,,,0.21589844553491586,0.21589844553491586,0.0,122,117,5
