country_name,country_iso3,region_name,subregion,income_group,trajectory_score_2023,trajectory_score_2045,trajectory_change_2023_2045,rise_potential_score,momentum_score,momentum_band,forecast_score_completeness,quadrant
Cameroon,CMR,Africa,Middle Africa,Lower middle income,0.023551778348978147,0.03676842398065677,0.013216645631678625,-0.06707325617727075,-0.041359080520965846,stable,complete,Structural Risk
Mozambique,MOZ,Africa,Eastern Africa,Low income,0.04612504423084368,0.04784913295611415,0.0017240887252704673,-0.06770734055006607,-0.046640093346543135,stable,complete,Structural Risk
Guinea-Bissau,GNB,Africa,Western Africa,Low income,0.07448009159406593,0.07282789737224221,-0.0016521942218237218,-0.06843210875404251,-0.05175799948721896,stable,complete,Structural Risk
Rwanda,RWA,Africa,Eastern Africa,Low income,0.07591793678916432,0.08269648623410265,0.006778549444938331,-0.0708138914471871,-0.048741009306710686,stable,complete,Structural Risk
Benin,BEN,Africa,Western Africa,Lower middle income,0.060939822360332234,0.06458545592230772,0.0036456335619754823,-0.07297701622239189,-0.05121490278465356,stable,complete,Structural Risk
Pakistan,PAK,Asia,Southern Asia,Lower middle income,0.06644990511311635,0.06652815715468308,7.825204156672316E-5,-0.07567633720393507,-0.05283423373245989,stable,complete,Structural Risk
Ethiopia,ETH,Africa,Eastern Africa,Low income,0.032082291839781646,0.04574427253094357,0.013661980691161923,-0.08004134358478648,-0.04999806709162692,stable,complete,Structural Risk
Burundi,BDI,Africa,Eastern Africa,Low income,0.001890378932280036,3.2450330612866785E-5,-0.0018579286016671692,-0.09889059516828956,-0.06785212323475634,stable,complete,Structural Risk
Nigeria,NGA,Africa,Western Africa,Lower middle income,-0.027373920794330472,-0.022908182539600544,0.0044657382547299285,-0.09907962249942692,-0.06335014113403448,stable,complete,Structural Risk
Burkina Faso,BFA,Africa,Western Africa,Low income,-0.016744983985175765,-0.012243568449732234,0.0045014155354435315,-0.10903325017898519,-0.0704405590404062,stable,complete,Structural Risk
Niger,NER,Africa,Western Africa,Low income,0.016262734788406598,0.02598061667780608,0.009717881889399482,-0.10967440018773536,-0.07200615803933848,stable,complete,Structural Risk
Afghanistan,AFG,Asia,Southern Asia,Low income,-0.009714660347277332,-0.005818698923519439,0.0038959614237578932,-0.11076757379790697,-0.07350218743971715,stable,complete,Structural Risk
Mali,MLI,Africa,Western Africa,Low income,-0.030476906311877702,-0.022640208816575177,0.007836697495302525,-0.11921621442495689,-0.0765184008682785,stable,complete,Structural Risk
Central African Republic,CAF,Africa,Middle Africa,Low income,-0.08798061998395307,-0.07364839675108231,0.014332223232870756,-0.1277203825192208,-0.0785943511551002,stable,complete,Structural Risk
Sudan,SDN,Africa,Northern Africa,Lower middle income,-0.03687318624755097,-0.03426662518904268,0.002606561058508289,-0.14178594164014946,-0.09297288724266325,stable,complete,Structural Risk
Chad,TCD,Africa,Middle Africa,Low income,-0.11006952396876782,-0.10756866792284596,0.0025008560459218593,-0.15477582215043356,-0.10078946419266294,stable,complete,Structural Risk
